source_id,name,category,subcategories,store
1392,Women Wallet Soft Le,Women's Wallets,Women,The Eclat Lux
1396,Professional Busines,"Women's Wallets, Card Cases & Money Organizers",Women,The Eclat Lux
1397,Blank DIY Craft Bag,Handbag Accessories,Women,The Eclat Lux
1398,"Leather Coin Pouch,",Men's Wallets,Men,The Eclat Lux
1399,Credit Card Holder B,"Women's Wallets, Card Cases & Money Organizers",Women,The Eclat Lux
1400,Flora Bella Monogram,Women's Wallets,Women,The Eclat Lux
1401,Icon Medium Zip Arou,Women's Wallets,Women,The Eclat Lux
1402,Card Holder Wallet w,Men's Wallets,Men,The Eclat Lux
1403,Croc Effect Small Zi,Women's Wallets,Women,The Eclat Lux
1404,Slim Wallet RFID Fro,"Women's Wallets, Card Cases & Money Organizers",Women,The Eclat Lux
1405,Echo Logo Bifold Car,"Women's Wallets, Card Cases & Money Organizers",Women,The Eclat Lux
1406,Small Wallet Women R,Women's Wallets,Women,The Eclat Lux
1407,Women Wallet Leathe,Women's Wallets,Women,The Eclat Lux
1408,Small Crinkle Zip Ar,Women's Wallets,Women,The Eclat Lux
1409,Giully II Small Zip,Women's Wallets,Women,The Eclat Lux
1410,Printed Card Holder,Women's Wallets,Women,The Eclat Lux
1411,Skycare Genuine Leat,Handbag Accessories,Women,The Eclat Lux
1412,Leather Card Holder,"Women's Wallets, Card Cases & Money Organizers",Women,The Eclat Lux
1413,Amorette Logo Wallet,Women's Wallets,Women,The Eclat Lux
1414,Carrie Logo Card Hol,"Women's Wallets, Card Cases & Money Organizers",Women,The Eclat Lux
1415,Laurel II Logo Walle,Women's Wallets,Women,The Eclat Lux
1416,Croc Effect Card Hol,"Women's Wallets, Card Cases & Money Organizers",Women,The Eclat Lux
1417,Laurel II Small Zip,Women's Wallets,Women,The Eclat Lux
1418,Ashlyn Logo Detail C,"Women's Wallets, Card Cases & Money Organizers",Women,The Eclat Lux
1419,Croc Effect Large Ic,Women's Shopper Totes,Women,The Eclat Lux
1422,Embellished Crossbod,Women's Cross-body Bags,Women,The Eclat Lux
1427,Hermès In-the-Loop 1,Women's bags and clutches,Women,The Eclat Lux
1428,Hermès Videpoches ba,Women's bags and clutches,Women,The Eclat Lux
1429,"Noumea 85 sandal, Be",Sandals,Women,The Eclat Lux
1430,"Naos sandal, Black",Sandals,Women,The Eclat Lux
1431,"Noa 95 sandal, Beige",Sandals,Women,The Eclat Lux
1432,"Santorini sandal, Re",Sandals,Women,The Eclat Lux
1433,"Mythic 105 sandal, B",Sandals,Women,The Eclat Lux
1434,"Chypre sandal, Blue",Sandals,Women,The Eclat Lux
1435,"Empire sandal, Brown",Sandals,Women,The Eclat Lux
